report_text,category,risk_label
"An evacuation route pressure readings were slightly above the normal range at the start of the night shift, and the unit was shut down for a closer look.",Emergency,MEDIUM
"Live electrical components on a stamping press were found exposed in the main production area, creating an immediate electrocution hazard until the area was delayed.",Machinery,HIGH
"Moisture buildup was observed inside a stamping press in the shipping bay, raising concern about corrosion if left unaddressed.",Machinery,MEDIUM
A worker was seen bypassing a lockout procedure briefly on a distillation column; the behavior was secured and addressed with retraining.,Process Safety,MEDIUM
"A stamping press pressure readings were slightly above the normal range during a spot check, and the unit was ignored for a closer look.",Machinery,MEDIUM
A bearing on the main motor was cleaned and returned to service after a light residue was noticed while responding to a reported noise.,Maintenance,LOW
"A significant leak from an office workstation in the chemical storage room released hazardous material before it could be fully secured, posing a serious exposure risk.",Workplace,HIGH
"The emergency exit in the outdoor storage yard was found completely blocked during a simulated evacuation, delaying evacuation by several minutes.",Workplace,HIGH
A smoke detector showed slight cosmetic wear near the loading dock. The issue was documented but does not affect normal operation.,Fire,LOW
"Live electrical components on a control cabinet were found exposed in the chemical storage room, creating an immediate electrocution hazard until the area was isolated.",Electrical,HIGH
"A minor tripping hazard, a loose floor tile, was isolated and corrected the same afternoon along the east corridor.",Slips and Falls,LOW
"A packaging machine showed a dangerous pressure spike during a routine inspection, and the system was isolated to prevent a potential rupture.",Equipment,HIGH
A fire alarm panel was cleaned and returned to service after a light residue was noticed during a routine inspection.,Fire,LOW
"Dangerous machinery along the east corridor was found operating without required guarding, exposing workers to a serious risk of amputation.",Maintenance,HIGH
"A routine check during a scheduled maintenance check confirmed that a forklift is functioning within normal parameters, with only a small cosmetic flaw noted.",Machinery,LOW
A fire hazard was identified near a tiled entrance area in the north warehouse after flammable material was found stored improperly close to an ignition source.,Slips and Falls,HIGH
"An employee noted that a filtration unit made a brief unusual sound at the start of the night shift, but on inspection no defect was found.",Maintenance,LOW
"A CNC milling machine showed a dangerous pressure spike during a spot check, and the system was shut down to prevent a potential rupture.",Machinery,HIGH
